movie_title,actor_1_name,actor_2_name,actor_3_name,director_name,genres,Combined
"good morning, vietnam",Robin Williams,J.T. Walsh,Bruno Kirby,Barry Levinson,Biography Comedy Drama War,"good morning, vietnamRobin WilliamsJ.T. WalshBruno KirbyBarry LevinsonBiography Comedy Drama War"
the last godfather,Jason Mewes,Stephanie Danielson,Michael Rispoli,Hyung-rae Shim,Comedy,the last godfatherJason MewesStephanie DanielsonMichael RispoliHyung-rae ShimComedy
justin bieber: never say never,Usher Raymond,Sean Kingston,Boys II Men,Jon M. Chu,Documentary Music,justin bieber: never say neverUsher RaymondSean KingstonBoys II MenJon M. ChuDocumentary Music
black swan,Natalie Portman,Mila Kunis,Mark Margolis,Darren Aronofsky,Drama Thriller,black swanNatalie PortmanMila KunisMark MargolisDarren AronofskyDrama Thriller
robocop,Gary Oldman,Abbie Cornish,Jennifer Ehle,José Padilha,Action Crime Sci-Fi Thriller,robocopGary OldmanAbbie CornishJennifer EhleJosé PadilhaAction Crime Sci-Fi Thriller
the godfather: part ii,Robert De Niro,Al Pacino,Robert Duvall,Francis Ford Coppola,Crime Drama,the godfather: part iiRobert De NiroAl PacinoRobert DuvallFrancis Ford CoppolaCrime Drama
save the last dance,Sean Patrick Thomas,Terry Kinney,Fredro Starr,Thomas Carter,Drama Music Romance,save the last danceSean Patrick ThomasTerry KinneyFredro StarrThomas CarterDrama Music Romance
a nightmare on elm street 4: the dream master,Tuesday Knight,Rodney Eastman,Brooke Bundy,Renny Harlin,Fantasy Horror Thriller,a nightmare on elm street 4: the dream masterTuesday KnightRodney EastmanBrooke BundyRenny HarlinFantasy Horror Thriller
miracles from heaven,Jennifer Garner,Brighton Sharbino,Martin Henderson,Patricia Riggen,Drama,miracles from heavenJennifer GarnerBrighton SharbinoMartin HendersonPatricia RiggenDrama
"dude, where's my car?",Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff,Danny Leiner,Comedy Mystery,"dude, where's my car?Jennifer GarnerMary Lynn RajskubMarla SokoloffDanny LeinerComedy Mystery"
young guns,Jack Palance,Patrick Wayne,Brian Keith,Christopher Cain,Action Crime Drama Thriller Western,young gunsJack PalancePatrick WayneBrian KeithChristopher CainAction Crime Drama Thriller Western
st. vincent,Bill Murray,Naomi Watts,Reg E. Cathey,Theodore Melfi,Comedy Drama,st. vincentBill MurrayNaomi WattsReg E. CatheyTheodore MelfiComedy Drama
about last night,Joe Lo Truglio,Regina Hall,Bryan Callen,Steve Pink,Comedy Romance,about last nightJoe Lo TruglioRegina HallBryan CallenSteve PinkComedy Romance
10 things i hate about you,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,Gil Junger,Comedy Drama Romance,10 things i hate about youJoseph Gordon-LevittHeath LedgerAndrew KeeganGil JungerComedy Drama Romance
the new guy,Zooey Deschanel,Eddie Griffin,Gene Simmons,Ed Decter,Comedy,the new guyZooey DeschanelEddie GriffinGene SimmonsEd DecterComedy
loaded weapon 1,Jon Lovitz,Lin Shaye,Bill Nunn,Gene Quintano,Action Comedy Crime,loaded weapon 1Jon LovitzLin ShayeBill NunnGene QuintanoAction Comedy Crime
the shallows,Óscar Jaenada,Brett Cullen,Sedona Legge,Jaume Collet-Serra,Drama Horror Thriller,the shallowsÓscar JaenadaBrett CullenSedona LeggeJaume Collet-SerraDrama Horror Thriller
the butterfly effect,Logan Lerman,Eric Stoltz,Cameron Bright,Eric Bress,Sci-Fi Thriller,the butterfly effectLogan LermanEric StoltzCameron BrightEric BressSci-Fi Thriller
snow day,Chris Elliott,Mark Webber,Jean Smart,Chris Koch,Adventure Comedy Family,snow dayChris ElliottMark WebberJean SmartChris KochAdventure Comedy Family
this christmas,Mekhi Phifer,Chris Brown,Loretta Devine,Preston A. Whitmore II,Comedy Drama Romance,this christmasMekhi PhiferChris BrownLoretta DevinePreston A. Whitmore IIComedy Drama Romance
baby geniuses,Kathleen Turner,Dom DeLuise,Ruby Dee,Bob Clark,Comedy Crime Family Sci-Fi,baby geniusesKathleen TurnerDom DeLuiseRuby DeeBob ClarkComedy Crime Family Sci-Fi
the big hit,Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.,Kirk Wong,Action Comedy Crime Thriller,the big hitBokeem WoodbineElliott GouldAntonio Sabato Jr.Kirk WongAction Comedy Crime Thriller
harriet the spy,Gregory Smith,Eartha Kitt,Charlotte Sullivan,Bronwen Hughes,Comedy Drama Family,harriet the spyGregory SmithEartha KittCharlotte SullivanBronwen HughesComedy Drama Family
child's play 2,Jenny Agutter,Beth Grant,Greg Germann,John Lafia,Fantasy Horror,child's play 2Jenny AgutterBeth GrantGreg GermannJohn LafiaFantasy Horror
no good deed,Leslie Bibb,Kate del Castillo,Henry Simmons,Sam Miller,Crime Thriller,no good deedLeslie BibbKate del CastilloHenry SimmonsSam MillerCrime Thriller
the mist,Toby Jones,Alexa Davalos,Jeffrey DeMunn,Frank Darabont,Horror,the mistToby JonesAlexa DavalosJeffrey DeMunnFrank DarabontHorror
ex machina,Elina Alminas,Sonoya Mizuno,Corey Johnson,Alex Garland,Drama Mystery Sci-Fi Thriller,ex machinaElina AlminasSonoya MizunoCorey JohnsonAlex GarlandDrama Mystery Sci-Fi Thriller
being john malkovich,Willie Garson,Orson Bean,Mary Kay Place,Spike Jonze,Comedy Drama Fantasy,being john malkovichWillie GarsonOrson BeanMary Kay PlaceSpike JonzeComedy Drama Fantasy
two can play that game,Mo'Nique,Vivica A. Fox,Tamala Jones,Mark Brown,Comedy Romance,two can play that gameMo'NiqueVivica A. FoxTamala JonesMark BrownComedy Romance
earth to echo,Teo Halm,Ella Wahlestedt,Jason Gray-Stanford,Dave Green,Adventure Family Sci-Fi,earth to echoTeo HalmElla WahlestedtJason Gray-StanfordDave GreenAdventure Family Sci-Fi
crazy/beautiful,Kirsten Dunst,Jay Hernandez,Rolando Molina,John Stockwell,Drama Romance,crazy/beautifulKirsten DunstJay HernandezRolando MolinaJohn StockwellDrama Romance
letters from iwo jima,Yuki Matsuzaki,Kazunari Ninomiya,Shidô Nakamura,Clint Eastwood,Drama History War,letters from iwo jimaYuki MatsuzakiKazunari NinomiyaShidô NakamuraClint EastwoodDrama History War
the astronaut farmer,J.K. Simmons,Virginia Madsen,Bruce Dern,Michael Polish,Adventure Drama Sci-Fi,the astronaut farmerJ.K. SimmonsVirginia MadsenBruce DernMichael PolishAdventure Drama Sci-Fi
woo,LL Cool J,Jada Pinkett Smith,Dave Chappelle,Daisy von Scherler Mayer,Comedy Romance,wooLL Cool JJada Pinkett SmithDave ChappelleDaisy von Scherler MayerComedy Romance
room,Joan Allen,Jacob Tremblay,Cas Anvar,Lenny Abrahamson,Drama,roomJoan AllenJacob TremblayCas AnvarLenny AbrahamsonDrama
dirty work,Don Rickles,Jack Warden,Traylor Howard,Bob Saget,Comedy,dirty workDon RicklesJack WardenTraylor HowardBob SagetComedy
serial mom,Kathleen Turner,Sam Waterston,Traci Lords,John Waters,Comedy Crime Thriller,serial momKathleen TurnerSam WaterstonTraci LordsJohn WatersComedy Crime Thriller
dick,Ryan Reynolds,Will Ferrell,Kirsten Dunst,Andrew Fleming,Comedy,dickRyan ReynoldsWill FerrellKirsten DunstAndrew FlemingComedy
del 1 - män som hatar kvinnor            ,Michael Nyqvist,David Dencik,Lena Endre,Niels Arden Oplev,Action Crime Mystery Thriller,del 1 - män som hatar kvinnor            Michael NyqvistDavid DencikLena EndreNiels Arden OplevAction Crime Mystery Thriller
light it up,Rosario Dawson,Vanessa Williams,Robert Ri'chard,Craig Bolotin,Drama Thriller,light it upRosario DawsonVanessa WilliamsRobert Ri'chardCraig BolotinDrama Thriller
54,Salma Hayek,Ellen Albertini Dow,Sela Ward,Mark Christopher,Drama Music,54Salma HayekEllen Albertini DowSela WardMark ChristopherDrama Music
bubble boy,Jake Gyllenhaal,Geoffrey Arend,Marley Shelton,Blair Hayes,Adventure Comedy Romance Sci-Fi,bubble boyJake GyllenhaalGeoffrey ArendMarley SheltonBlair HayesAdventure Comedy Romance Sci-Fi
birthday girl,Mark Gatiss,Mathieu Kassovitz,Ben Chaplin,Jez Butterworth,Comedy Crime Thriller,birthday girlMark GatissMathieu KassovitzBen ChaplinJez ButterworthComedy Crime Thriller
21 & over,Justin Chon,Josie Loren,Sarah Wright,Jon Lucas,Comedy,21 & overJustin ChonJosie LorenSarah WrightJon LucasComedy
"paris, je t'aime",Steve Buscemi,Miranda Richardson,Catalina Sandino Moreno,Olivier Assayas,Comedy Drama Romance,"paris, je t'aimeSteve BuscemiMiranda RichardsonCatalina Sandino MorenoOlivier AssayasComedy Drama Romance"
resurrecting the champ,Harry Lennix,Kathryn Morris,Peter Coyote,Rod Lurie,Drama Sport,resurrecting the champHarry LennixKathryn MorrisPeter CoyoteRod LurieDrama Sport
admission,Tina Fey,Sarita Choudhury,Christopher Evan Welch,Paul Weitz,Comedy Drama Romance,admissionTina FeySarita ChoudhuryChristopher Evan WelchPaul WeitzComedy Drama Romance
the widow of saint-pierre,Emir Kusturica,Daniel Auteuil,Yves Jacques,Patrice Leconte,Drama Romance,the widow of saint-pierreEmir KusturicaDaniel AuteuilYves JacquesPatrice LeconteDrama Romance
chloe,Liam Neeson,Meghan Heffern,Natalie Lisinska,Atom Egoyan,Drama Mystery Romance Thriller,chloeLiam NeesonMeghan HeffernNatalie LisinskaAtom EgoyanDrama Mystery Romance Thriller
faithful,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,Paul Mazursky,Comedy Crime Drama,faithfulChazz PalminteriRyan O'NealPaul MazurskyPaul MazurskyComedy Crime Drama
brothers,Natalie Portman,Jake Gyllenhaal,Ethan Suplee,Jim Sheridan,Drama Thriller,brothersNatalie PortmanJake GyllenhaalEthan SupleeJim SheridanDrama Thriller
find me guilty,Peter Dinklage,Vin Diesel,Alex Rocco,Sidney Lumet,Biography Comedy Crime Drama,find me guiltyPeter DinklageVin DieselAlex RoccoSidney LumetBiography Comedy Crime Drama
the perks of being a wallflower,Logan Lerman,Ezra Miller,Kate Walsh,Stephen Chbosky,Drama Romance,the perks of being a wallflowerLogan LermanEzra MillerKate WalshStephen ChboskyDrama Romance
excessive force,Burt Young,Ian Gomez,Thomas Ian Griffith,Jon Hess,Action,excessive forceBurt YoungIan GomezThomas Ian GriffithJon HessAction
infamous,Toby Jones,Isabella Rossellini,Hope Davis,Douglas McGrath,Biography Crime Drama,infamousToby JonesIsabella RosselliniHope DavisDouglas McGrathBiography Crime Drama
the vatican tapes,Djimon Hounsou,Alison Lohman,Dougray Scott,Mark Neveldine,Horror Thriller,the vatican tapesDjimon HounsouAlison LohmanDougray ScottMark NeveldineHorror Thriller
attack the block,John Boyega,Luke Treadaway,Jodie Whittaker,Joe Cornish,Action Comedy Sci-Fi Thriller,attack the blockJohn BoyegaLuke TreadawayJodie WhittakerJoe CornishAction Comedy Sci-Fi Thriller
in the land of blood and honey,Jelena Jovanova,Nikola Djuricko,Branko Djuric,Angelina Jolie Pitt,Drama Romance War,in the land of blood and honeyJelena JovanovaNikola DjurickoBranko DjuricAngelina Jolie PittDrama Romance War
the call,Michael Imperioli,Tara Platt,Roma Maffia,Brad Anderson,Crime Thriller,the callMichael ImperioliTara PlattRoma MaffiaBrad AndersonCrime Thriller
operation chromite,Liam Neeson,Dean Dawson,Jung-jae Lee,John H. Lee,Action Drama History War,operation chromiteLiam NeesonDean DawsonJung-jae LeeJohn H. LeeAction Drama History War
the crocodile hunter: collision course,Steve Irwin,Aden Young,Steve Bastoni,John Stainton,Action Adventure Comedy Family,the crocodile hunter: collision courseSteve IrwinAden YoungSteve BastoniJohn StaintonAction Adventure Comedy Family
i love you phillip morris,Dameon Clarke,Louis Herthum,Annie Golden,Glenn Ficarra,Biography Comedy Crime Drama Romance,i love you phillip morrisDameon ClarkeLouis HerthumAnnie GoldenGlenn FicarraBiography Comedy Crime Drama Romance
quest for fire,Rae Dawn Chong,Everett McGill,Gary Schwartz,Jean-Jacques Annaud,Adventure Drama History,quest for fireRae Dawn ChongEverett McGillGary SchwartzJean-Jacques AnnaudAdventure Drama History
antwone fisher,Denzel Washington,Kevin Connolly,Derek Luke,Denzel Washington,Biography Drama,antwone fisherDenzel WashingtonKevin ConnollyDerek LukeDenzel WashingtonBiography Drama
the emperor's club,Gabriel Millman,Embeth Davidtz,Rob Morrow,Michael Hoffman,Drama,the emperor's clubGabriel MillmanEmbeth DavidtzRob MorrowMichael HoffmanDrama
true romance,Brad Pitt,Gary Oldman,Michael Rapaport,Tony Scott,Action Crime Drama Romance Thriller,true romanceBrad PittGary OldmanMichael RapaportTony ScottAction Crime Drama Romance Thriller
womb,Eva Green,Matt Smith,Hannah Murray,Benedek Fliegauf,Drama Romance Sci-Fi,wombEva GreenMatt SmithHannah MurrayBenedek FliegaufDrama Romance Sci-Fi
glengarry glen ross,Kevin Spacey,Al Pacino,Jude Ciccolella,James Foley,Crime Drama Mystery,glengarry glen rossKevin SpaceyAl PacinoJude CiccolellaJames FoleyCrime Drama Mystery
the killer inside me,Liam Aiken,Ned Beatty,Jay R. Ferguson,Michael Winterbottom,Crime Drama Thriller,the killer inside meLiam AikenNed BeattyJay R. FergusonMichael WinterbottomCrime Drama Thriller
sorority row,Julian Morris,Margo Harshman,Rumer Willis,Stewart Hendler,Horror Mystery,sorority rowJulian MorrisMargo HarshmanRumer WillisStewart HendlerHorror Mystery
the prisoner of zenda,David Niven,Mary Astor,Ronald Colman,John Cromwell,Adventure Drama Romance,the prisoner of zendaDavid NivenMary AstorRonald ColmanJohn CromwellAdventure Drama Romance
lars and the real girl,Ryan Gosling,Kelli Garner,Paul Schneider,Craig Gillespie,Comedy Drama Romance,lars and the real girlRyan GoslingKelli GarnerPaul SchneiderCraig GillespieComedy Drama Romance
the boy in the striped pajamas,Richard Johnson,Sheila Hancock,Cara Horgan,Mark Herman,Drama War,the boy in the striped pajamasRichard JohnsonSheila HancockCara HorganMark HermanDrama War
dancer in the dark,Catherine Deneuve,Udo Kier,Björk,Lars von Trier,Crime Drama Musical,dancer in the darkCatherine DeneuveUdo KierBjörkLars von TrierCrime Drama Musical
oscar and lucinda,Tom Wilkinson,Richard Roxburgh,Clive Russell,Gillian Armstrong,Drama Romance,oscar and lucindaTom WilkinsonRichard RoxburghClive RussellGillian ArmstrongDrama Romance
the funeral,Isabella Rossellini,Vincent Gallo,Gretchen Mol,Abel Ferrara,Crime Drama,the funeralIsabella RosselliniVincent GalloGretchen MolAbel FerraraCrime Drama
solitary man,Jenna Fischer,David Costabile,Richard Schiff,Brian Koppelman,Comedy Drama Romance,solitary manJenna FischerDavid CostabileRichard SchiffBrian KoppelmanComedy Drama Romance
machete,Robert De Niro,Don Johnson,Cheech Marin,Ethan Maniquis,Action Crime Thriller,macheteRobert De NiroDon JohnsonCheech MarinEthan ManiquisAction Crime Thriller
casino jack,Kevin Spacey,Eric Schweig,Christian Campbell,George Hickenlooper,Biography Comedy Crime Drama,casino jackKevin SpaceyEric SchweigChristian CampbellGeorge HickenlooperBiography Comedy Crime Drama
the land before time,Judith Barsi,Gabriel Damon,Bill Erwin,Don Bluth,Adventure Animation Family,the land before timeJudith BarsiGabriel DamonBill ErwinDon BluthAdventure Animation Family
tae guk gi: the brotherhood of war,Min-sik Choi,Bin Won,Dong-gun Jang,Je-kyu Kang,Action Drama War,tae guk gi: the brotherhood of warMin-sik ChoiBin WonDong-gun JangJe-kyu KangAction Drama War
the perfect game,Clifton Collins Jr.,Cheech Marin,Bruce McGill,William Dear,Comedy Drama Family Sport,the perfect gameClifton Collins Jr.Cheech MarinBruce McGillWilliam DearComedy Drama Family Sport
the exorcist,Ellen Burstyn,Linda Blair,Lee J. Cobb,William Friedkin,Horror,the exorcistEllen BurstynLinda BlairLee J. CobbWilliam FriedkinHorror
jaws,Roy Scheider,Robert Shaw,Murray Hamilton,Steven Spielberg,Adventure Drama Thriller,jawsRoy ScheiderRobert ShawMurray HamiltonSteven SpielbergAdventure Drama Thriller
american pie,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,Paul Weitz,Comedy,american pieAlyson HanniganShannon ElizabethNatasha LyonnePaul WeitzComedy
ernest & celestine,Mackenzie Foy,Megan Mullally,Lambert Wilson,Stéphane Aubier,Animation Comedy Crime Drama Family,ernest & celestineMackenzie FoyMegan MullallyLambert WilsonStéphane AubierAnimation Comedy Crime Drama Family
the golden child,Victor Wong,Randall 'Tex' Cobb,Charlotte Lewis,Michael Ritchie,Action Adventure Comedy Fantasy Mystery,the golden childVictor WongRandall 'Tex' CobbCharlotte LewisMichael RitchieAction Adventure Comedy Fantasy Mystery
think like a man,Chris Brown,Romany Malco,Regina Hall,Tim Story,Comedy Romance,think like a manChris BrownRomany MalcoRegina HallTim StoryComedy Romance
barbershop,Sean Patrick Thomas,Jason George,Cedric the Entertainer,Tim Story,Comedy Drama,barbershopSean Patrick ThomasJason GeorgeCedric the EntertainerTim StoryComedy Drama
star trek ii: the wrath of khan,Leonard Nimoy,Kirstie Alley,Nichelle Nichols,Nicholas Meyer,Action Adventure Sci-Fi,star trek ii: the wrath of khanLeonard NimoyKirstie AlleyNichelle NicholsNicholas MeyerAction Adventure Sci-Fi
ace ventura: pet detective,Sean Young,Udo Kier,David Margulies,Tom Shadyac,Comedy,ace ventura: pet detectiveSean YoungUdo KierDavid MarguliesTom ShadyacComedy
wargames,Matthew Broderick,Barry Corbin,Ally Sheedy,John Badham,Sci-Fi Thriller,wargamesMatthew BroderickBarry CorbinAlly SheedyJohn BadhamSci-Fi Thriller
witness,Harrison Ford,Viggo Mortensen,Lukas Haas,Peter Weir,Crime Drama Romance Thriller,witnessHarrison FordViggo MortensenLukas HaasPeter WeirCrime Drama Romance Thriller
act of valor,Alex Veadov,Jason Cottle,Rorke Denver,Mike McCoy,Action Adventure Drama Thriller War,act of valorAlex VeadovJason CottleRorke DenverMike McCoyAction Adventure Drama Thriller War
step up,Channing Tatum,Alyson Stoner,Josh Henderson,Anne Fletcher,Crime Drama Music Romance,step upChanning TatumAlyson StonerJosh HendersonAnne FletcherCrime Drama Music Romance
beavis and butt-head do america,Bruce Willis,Demi Moore,John Doman,Mike Judge,Adventure Animation Comedy Crime,beavis and butt-head do americaBruce WillisDemi MooreJohn DomanMike JudgeAdventure Animation Comedy Crime
jackie brown,Robert De Niro,Sid Haig,Robert Forster,Quentin Tarantino,Crime Thriller,jackie brownRobert De NiroSid HaigRobert ForsterQuentin TarantinoCrime Thriller
harold & kumar escape from guantanamo bay,Danneel Ackles,Eric Winter,Beverly D'Angelo,Jon Hurwitz,Adventure Comedy,harold & kumar escape from guantanamo bayDanneel AcklesEric WinterBeverly D'AngeloJon HurwitzAdventure Comedy
chronicle,Michael Kelly,Alex Russell,Ashley Hinshaw,Josh Trank,Drama Sci-Fi Thriller,chronicleMichael KellyAlex RussellAshley HinshawJosh TrankDrama Sci-Fi Thriller
yentl,Miriam Margolyes,Amy Irving,Steven Hill,Barbra Streisand,Drama Musical Romance,yentlMiriam MargolyesAmy IrvingSteven HillBarbra StreisandDrama Musical Romance
time bandits,Shelley Duvall,Michael Palin,Kenny Baker,Terry Gilliam,Adventure Comedy Fantasy Sci-Fi,time banditsShelley DuvallMichael PalinKenny BakerTerry GilliamAdventure Comedy Fantasy Sci-Fi
project x,Dax Flame,Kirby Bliss Blanton,Oliver Cooper,Nima Nourizadeh,Comedy Crime,project xDax FlameKirby Bliss BlantonOliver CooperNima NourizadehComedy Crime
patton,George C. Scott,Karl Malden,Bill Hickman,Franklin J. Schaffner,Biography Drama War,pattonGeorge C. ScottKarl MaldenBill HickmanFranklin J. SchaffnerBiography Drama War
one hour photo,Robin Williams,Gary Cole,Connie Nielsen,Mark Romanek,Drama Thriller,one hour photoRobin WilliamsGary ColeConnie NielsenMark RomanekDrama Thriller
quarantine,Andrew Fiscella,Jay Hernandez,Dania Ramirez,John Erick Dowdle,Horror Sci-Fi Thriller,quarantineAndrew FiscellaJay HernandezDania RamirezJohn Erick DowdleHorror Sci-Fi Thriller
the eye,Chloë Grace Moretz,Alessandro Nivola,Obba Babatundé,David Moreau,Horror Mystery,the eyeChloë Grace MoretzAlessandro NivolaObba BabatundéDavid MoreauHorror Mystery
johnson family vacation,Vanessa Williams,Shannon Elizabeth,Shad Moss,Christopher Erskin,Comedy,johnson family vacationVanessa WilliamsShannon ElizabethShad MossChristopher ErskinComedy
how high,Hector Elizondo,Fred Willard,T.J. Thyne,Jesse Dylan,Comedy Fantasy,how highHector ElizondoFred WillardT.J. ThyneJesse DylanComedy Fantasy
the muppet christmas carol,Steven Mackintosh,Jerry Nelson,Steve Whitmire,Brian Henson,Comedy Drama Family Fantasy Musical,the muppet christmas carolSteven MackintoshJerry NelsonSteve WhitmireBrian HensonComedy Drama Family Fantasy Musical
casino royale,Eva Green,Tobias Menzies,Ivana Milicevic,Martin Campbell,Action Adventure Thriller,casino royaleEva GreenTobias MenziesIvana MilicevicMartin CampbellAction Adventure Thriller
frida,Salma Hayek,Roger Rees,Valeria Golino,Julie Taymor,Biography Drama Romance,fridaSalma HayekRoger ReesValeria GolinoJulie TaymorBiography Drama Romance
katy perry: part of me,Lexie Contursi,Ashley Ashida Dixon,Anthony Burrell,Dan Cutforth,Documentary Music,katy perry: part of meLexie ContursiAshley Ashida DixonAnthony BurrellDan CutforthDocumentary Music
the fault in our stars,Shailene Woodley,Sam Trammell,Nat Wolff,Josh Boone,Drama Romance,the fault in our starsShailene WoodleySam TrammellNat WolffJosh BooneDrama Romance
rounders,Matt Damon,Martin Landau,Gretchen Mol,John Dahl,Crime Drama,roundersMatt DamonMartin LandauGretchen MolJohn DahlCrime Drama
top five,Rosario Dawson,Romany Malco,J.B. Smoove,Chris Rock,Comedy Romance,top fiveRosario DawsonRomany MalcoJ.B. SmooveChris RockComedy Romance
prophecy,Talia Shire,Richard Dysart,Robert Foxworth,John Frankenheimer,Horror Sci-Fi,prophecyTalia ShireRichard DysartRobert FoxworthJohn FrankenheimerHorror Sci-Fi
stir of echoes,Illeana Douglas,Kathryn Erbe,Lusia Strus,David Koepp,Horror Mystery Thriller,stir of echoesIlleana DouglasKathryn ErbeLusia StrusDavid KoeppHorror Mystery Thriller
spartacus: war of the damned            ,Peter Mensah,Kelvin Taylor,Viva Bianca,unknown,Action Adventure Biography Drama History,spartacus: war of the damned            Peter MensahKelvin TaylorViva BiancaunknownAction Adventure Biography Drama History
philomena,Steve Coogan,Mare Winningham,Peter Hermann,Stephen Frears,Biography Drama,philomenaSteve CooganMare WinninghamPeter HermannStephen FrearsBiography Drama
the upside of anger,Alicia Witt,Erika Christensen,Joan Allen,Mike Binder,Comedy Drama,the upside of angerAlicia WittErika ChristensenJoan AllenMike BinderComedy Drama
the boys from brazil,Laurence Olivier,Anne Meara,Steve Guttenberg,Franklin J. Schaffner,Drama Thriller,the boys from brazilLaurence OlivierAnne MearaSteve GuttenbergFranklin J. SchaffnerDrama Thriller
aquamarine,Tammin Sursok,Joanna 'JoJo' Levesque,Dichen Lachman,Elizabeth Allen Rosenbaum,Comedy Family Fantasy Romance,aquamarineTammin SursokJoanna 'JoJo' LevesqueDichen LachmanElizabeth Allen RosenbaumComedy Family Fantasy Romance
paper towns,Nat Wolff,Cara Delevingne,Meg Crosbie,Jake Schreier,Drama Mystery Romance,paper townsNat WolffCara DelevingneMeg CrosbieJake SchreierDrama Mystery Romance
my baby's daddy,Michael Imperioli,Marsha Thomason,Bai Ling,Cheryl Dunye,Comedy,my baby's daddyMichael ImperioliMarsha ThomasonBai LingCheryl DunyeComedy
nebraska,Devin Ratray,Bruce Dern,Will Forte,Alexander Payne,Adventure Comedy Drama,nebraskaDevin RatrayBruce DernWill ForteAlexander PayneAdventure Comedy Drama
tales from the crypt: demon knight,CCH Pounder,Jada Pinkett Smith,Gary Farmer,Ernest R. Dickerson,Action Fantasy Horror Thriller,tales from the crypt: demon knightCCH PounderJada Pinkett SmithGary FarmerErnest R. DickersonAction Fantasy Horror Thriller
max keeble's big move,Noel Fisher,Amber Valletta,Larry Miller,Tim Hill,Comedy Crime Family,max keeble's big moveNoel FisherAmber VallettaLarry MillerTim HillComedy Crime Family
young adult,Charlize Theron,Patton Oswalt,Collette Wolfe,Jason Reitman,Comedy Drama,young adultCharlize TheronPatton OswaltCollette WolfeJason ReitmanComedy Drama
crank,Jason Statham,Edi Gathegi,Jose Pablo Cantillo,Mark Neveldine,Action Crime Thriller,crankJason StathamEdi GathegiJose Pablo CantilloMark NeveldineAction Crime Thriller
how to be a player,Bernie Mac,Gilbert Gottfried,Lark Voorhies,Lionel C. Martin,Comedy,how to be a playerBernie MacGilbert GottfriedLark VoorhiesLionel C. MartinComedy
living out loud,Holly Hunter,Eddie Cibrian,Jenette Goldstein,Richard LaGravenese,Comedy Drama Romance,living out loudHolly HunterEddie CibrianJenette GoldsteinRichard LaGraveneseComedy Drama Romance
just wright,Common,Laz Alonso,Mehcad Brooks,Sanaa Hamri,Comedy Romance Sport,just wrightCommonLaz AlonsoMehcad BrooksSanaa HamriComedy Romance Sport
rachel getting married,Anne Hathaway,Rosemarie DeWitt,Bill Irwin,Jonathan Demme,Drama Romance,rachel getting marriedAnne HathawayRosemarie DeWittBill IrwinJonathan DemmeDrama Romance
the postman always rings twice,Anjelica Huston,Michael Lerner,John Colicos,Bob Rafelson,Crime Drama Romance Thriller,the postman always rings twiceAnjelica HustonMichael LernerJohn ColicosBob RafelsonCrime Drama Romance Thriller
girl with a pearl earring,Scarlett Johansson,Colin Firth,Tom Wilkinson,Peter Webber,Biography Drama Romance,girl with a pearl earringScarlett JohanssonColin FirthTom WilkinsonPeter WebberBiography Drama Romance
das boot,Jürgen Prochnow,Martin Semmelrogge,Herbert Grönemeyer,Wolfgang Petersen,Adventure Drama Thriller War,das bootJürgen ProchnowMartin SemmelroggeHerbert GrönemeyerWolfgang PetersenAdventure Drama Thriller War
the alamo,Dennis Quaid,Marc Blucas,Jordi Mollà,John Lee Hancock,Drama History War Western,the alamoDennis QuaidMarc BlucasJordi MollàJohn Lee HancockDrama History War Western
sorority boys,Heather Matarazzo,Barry Watson,Harland Williams,Wallace Wolodarsky,Comedy,sorority boysHeather MatarazzoBarry WatsonHarland WilliamsWallace WolodarskyComedy
about time,Tom Hughes,Tom Hollander,Lindsay Duncan,Richard Curtis,Drama Fantasy Romance,about timeTom HughesTom HollanderLindsay DuncanRichard CurtisDrama Fantasy Romance
house of flying daggers,Takeshi Kaneshiro,Andy Lau,Zhengyong Zhang,Yimou Zhang,Action Adventure Drama Romance,house of flying daggersTakeshi KaneshiroAndy LauZhengyong ZhangYimou ZhangAction Adventure Drama Romance
arbitrage,Nate Parker,Curtiss Cook,Reg E. Cathey,Nicholas Jarecki,Drama Thriller,arbitrageNate ParkerCurtiss CookReg E. CatheyNicholas JareckiDrama Thriller
project almanac,Gary Weeks,Jonny Weston,Sofia Black-D'Elia,Dean Israelite,Sci-Fi Thriller,project almanacGary WeeksJonny WestonSofia Black-D'EliaDean IsraeliteSci-Fi Thriller
cadillac records,Cedric the Entertainer,Veronika Dash,Tammy Blanchard,Darnell Martin,Biography Drama Music,cadillac recordsCedric the EntertainerVeronika DashTammy BlanchardDarnell MartinBiography Drama Music
screwed,Sarah Silverman,Dave Chappelle,Sherman Hemsley,Scott Alexander,Comedy Crime,screwedSarah SilvermanDave ChappelleSherman HemsleyScott AlexanderComedy Crime
fortress,Christopher Lambert,Kurtwood Smith,Clifton Collins Jr.,Stuart Gordon,Action Crime Sci-Fi Thriller,fortressChristopher LambertKurtwood SmithClifton Collins Jr.Stuart GordonAction Crime Sci-Fi Thriller
for your consideration,John Michael Higgins,Catherine O'Hara,Ed Begley Jr.,Christopher Guest,Comedy,for your considerationJohn Michael HigginsCatherine O'HaraEd Begley Jr.Christopher GuestComedy
